Months (/Users/poosh/PYFiles/IOS.csv),Total Nama,Total Chanters,New Users
March,1238590,169,23
April,1093000,208,58
May,1273465,169,17
June,1479216,156,19
July,1007234,134,14
August,1445240,187,35
September,857616,149,12
October,1211021,145,16
November,4986991,200,49
December,1182406,165,19
January,1276227,165,24
February,2027662,143,10
Months (/Users/poosh/PYFiles/androidNew.csv),Total Nama,Total Chanters,New Users
March,2765467,485,145
April,2366175,506,156
May,2905148,451,63
June,4399918,455,94
July,2944623,459,81
August,2714452,494,101
September,2433216,449,56
October,2761931,441,58
November,3005110,471,96
December,2922083,481,96
January,2691713,474,67
February,3162559,498,107
